Country_State,Site,Component,Name_Nearest_City, Count_Building_Owned , Building_Owned_SqFt , Count_Bldgs_Leased ,Bldgs_Leased_SqFt, Count_Bldgs_Other , Bldgs_Other_SqFt , Acres_Owned , Total_Acres ,Plant_Replacement_Value_M,Latitude,Longitude,Lat_Long_Sources
Montana,MTA Ft Wm Henry Harrison,Army National Guard,Fort Harrison,113,"784,751",0,0,1,110,"2,941.83","3,002.35",$658.58,46.6159044,-112.1129883,US_Base_Project_BSR-FY24_Lat-Long
Montana,Mta Limestone Hills,Army National Guard,Townsend,13,"10,342",0,0,3,"1,536",0.00,"21,327.14",$72.17,46.24948487,-111.6262559,US_Base_Project_BSR-FY24_Lat-Long
Montana,Ts Waco Lta,Army National Guard,Billings,0,0,0,0,0,0,0.00,"4,900.40",$11.82,46.0738741,-107.7070295,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,Camp Ashland,Army National Guard,Ashland,34,"257,814",0,0,0,0,980.68,980.68,$234.27,41.068611,-96.334722,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,Cornhusker AAP,US Army Corps of Engineers,Grand Island,15,"16,282",0,0,0,0,372.42,372.42,$125.15,40.9170085,-98.49286949,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,Fremont Usarc,Army Reserve,Fremont,2,"20,858",0,0,0,0,0.00,10.00,$16.14,41.44284925,-96.52050596,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,Gen John J Pershing ARC,Army Reserve,Lincoln,3,"55,732",0,0,0,0,10.06,10.06,$41.21,40.821154,-96.70148,DeepSeek
Nebraska,Greenlief Training Site and Unit Training Equipment Site 01,Army National Guard,Hastings,66,"262,486",0,0,0,0,"3,221.90","3,246.81",$404.60,40.55068105,-98.27649885,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,Lincoln Army Aviation Support Facility 01 and Readiness Center,Army National Guard,Lincoln,11,"340,701",0,0,0,0,65.29,65.29,$260.55,40.8290738,-96.70497273,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,LINCOLN MUNICIPAL AIRPORT SITE 1,Air National Guard,Lincoln,28,"356,385",0,0,1,"3,000",97.26,172.17,$503.53,40.84063085,-96.75444745,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,Mead LTA,Army Reserve,Mead,9,"13,514",0,0,0,0,960.00,960.00,$21.96,41.1389,-96.4879,DeepSeek
Nebraska,Mead Training Site and Unit Training Equipment Site 02,Army National Guard,Mead,34,"222,673",0,0,0,0,"1,196.61","1,225.78",$246.13,41.18496045,-96.48917575,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,OFFUTT AIR FORCE BASE SITE 1,Air Force Active,Offutt A.f.b.,200,"6,650,995",0,0,0,0,"1,908.00","1,923.00","$6,133.61",41.1183758,-95.9101309,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,OFFUTT COMMUNICATIONS ANX NO 2 GLOBECOM SITE 1,Air Force Active,Elkhorn,6,"108,219",0,0,0,0,372.00,372.00,$100.89,41.34647473,-96.2441358,US_Base_Project_BSR-FY24_Lat-Long
Nebraska,OFFUTT FAMILY HOUSING ANNEX SITE 1,Air Force Active,Offutt A.f.b.,22,"374,262",0,0,0,0,789.87,792.55,$318.06,41.12820576,-95.95780503,US_Base_Project_BSR-FY24_Lat-Long
Netherlands,Brunssum JFC,Army Active,Brunssum,2,"35,763",0,0,8,"219,175",0.00,0.00,$121.91,50.9385,5.9814,DeepSeek
Netherlands,Brunssum Leases,Army Active,Brunssum,0,0,58,"83,753",0,0,0.00,0.01,$32.45,50.9369,5.9763,DeepSeek
Netherlands,Brunssum Support Site,Army Active,Brunssum,5,"9,542",23,"74,063",24,"618,760",0.00,5.30,$347.37,50.93944233,5.986974328,US_Base_Project_BSR-FY24_Lat-Long
Netherlands,Eygelshoven Army Depot,Army Active,Eygelshoven,0,0,0,0,36,"598,331",0.00,56.00,$231.63,50.90077426,6.073489318,US_Base_Project_BSR-FY24_Lat-Long
Netherlands,VOLKEL AIR BASE SITE 1,Air Force Active,Volkel,2,"20,301",0,0,3,"36,141",0.00,0.00,$30.84,51.65830935,5.698015184,US_Base_Project_BSR-FY24_Lat-Long
Nevada,CREECH AIR FORCE BASE,Air Force Active,Indian Springs,147,"1,258,078",0,0,1,"3,600",252.81,"2,317.67","$2,513.56",36.5887542,-115.6714563,US_Base_Project_BSR-FY24_Lat-Long
Nevada,DIXIE VALLEY,Navy Active,Fallon,1,71,0,0,0,0,"10,697.47","79,173.24",$158.63,39.6875731,-118.0796781,US_Base_Project_BSR-FY24_Lat-Long
Nevada,EW RANGE FAC,Navy Active,Fallon,12,"36,852",0,0,0,0,16.00,"1,053.77",$200.04,39.86255145,-118.361853,US_Base_Project_BSR-FY24_Lat-Long
